2021/12/20 03:31:16	INFO      	Data extracted                                    	147496 rows extracted.
2021/12/20 03:31:16	INFO      	Data Transformed                                  	Final rows passed: 0
2021/12/20 03:31:19	INFO      	Data Transformed                                  	Final rows passed: 0
2021/12/20 03:37:39	INFO      	Data extracted                                    	147496 rows extracted.
2021/12/20 03:37:39	INFO      	Data Transformed                                  	Final rows passed: 0
2021/12/20 03:37:40	ERROR     	Load info failed                                  	local variable 'row' referenced before assignment
2021/12/20 03:39:33	INFO      	Data extracted                                    	147496 rows extracted.
2021/12/20 03:39:33	INFO      	Data Transformed                                  	Final rows passed: 0
2021/12/20 03:39:43	INFO      	Data Transformed                                  	Final rows passed: 0
2021/12/20 03:43:57	INFO      	Data extracted                                    	147496 rows extracted.
2021/12/20 03:44:03	INFO      	Data Transformed                                  	Final rows passed: 147495
2021/12/20 03:44:22	INFO      	Data Loaded                                       	Rows loaded in batch: 67
2021/12/20 03:44:24	INFO      	Data Loaded                                       	Rows loaded in batch: 67
2021/12/20 03:44:26	INFO      	Data Loaded                                       	Rows loaded in batch: 67
2021/12/20 03:44:28	INFO      	Data Loaded                                       	Rows loaded in batch: 67
2021/12/20 03:44:29	INFO      	Data Loaded                                       	Rows loaded in batch: 67
2021/12/20 03:44:31	INFO      	Data Loaded                                       	Rows loaded in batch: 67
2021/12/20 03:47:07	INFO      	Data extracted                                    	147496 rows extracted.
2021/12/20 03:47:16	INFO      	Data Transformed                                  	Final rows passed: 147495
