jugador,mundial,camiseta,posicion,jugo,no_jugo,goles,amarillas,rojas,ganados,empatados,perdidos
Lionel Andrés Messi,2006,19,Delantero,3,2,1,0,0,2,1,0
Lionel Andrés Messi,2010,10,Delantero,5,0,0,0,0,4,0,1
Lionel Andrés Messi,2014,10,Delantero,7,0,4,0,0,5,1,1
Lionel Andrés Messi,2018,10,Delantero,4,0,1,1,0,1,1,2
Cristiano Ronaldo dos Santos Aveiro,2010,7,Delantero,4,0,1,1,0,1,2,1
Cristiano Ronaldo dos Santos Aveiro,2014,7,Delantero,3,0,1,0,0,1,1,1
Cristiano Ronaldo dos Santos Aveiro,2006,17,Delantero,6,1,1,1,0,3,1,2
Cristiano Ronaldo dos Santos Aveiro,2018,7,Delantero,4,0,4,2,0,1,2,1
Diego Maradona,1994,10,Mediocampista,2,2,1,0,0,2,0,0
Diego Maradona,1982,10,Mediocampista,5,0,2,1,1,2,0,3
Diego Maradona,1986,10,Mediocampista,7,0,5,1,0,6,1,0
Diego Maradona,1990,10,Mediocampista,7,0,0,2,0,2,3,2
Edson Arantes do Nascimento,1970,10,Delantero,6,0,4,0,0,6,0,0
Edson Arantes do Nascimento,1966,10,Delantero,2,1,1,0,0,1,0,1
Edson Arantes do Nascimento,1958,10,Delantero,4,2,6,0,0,4,0,0
Edson Arantes do Nascimento,1962,10,Delantero,2,4,1,0,0,1,1,0
Ronaldo Luís Nazário de Lima,2006,9,Delantero,5,0,3,2,0,4,0,1
Ronaldo Luís Nazário de Lima,1994,20,Delantero,0,7,0,0,0,0,0,0
Ronaldo Luís Nazário de Lima,1998,9,Delantero,7,0,4,0,0,4,1,2
Ronaldo Luís Nazário de Lima,2002,9,Delantero,7,0,8,0,0,7,0,0
Neymar da Silva Santos Júnior,2014,10,Delantero,5,2,4,1,0,3,2,0
Neymar da Silva Santos Júnior,2018,10,Delantero,5,0,2,1,0,3,1,1
Javier Alejandro Mascherano,2010,14,Mediocampista,4,1,0,2,0,3,0,1
Javier Alejandro Mascherano,2014,14,Mediocampista,7,0,0,1,0,5,1,1
Javier Alejandro Mascherano,2018,14,Mediocampista,4,0,0,2,0,1,1,2
Javier Alejandro Mascherano,2006,8,Mediocampista,5,0,0,2,0,3,2,0
Edinson Roberto Cavani Gómez,2010,7,Delantero,6,1,1,0,0,3,1,2
Edinson Roberto Cavani Gómez,2014,21,Delantero,4,0,1,0,0,2,0,2
Edinson Roberto Cavani Gómez,2018,21,Delantero,4,1,3,0,0,4,0,0
Miroslav Klose,2002,11,Delantero,7,0,5,1,0,5,1,1
Miroslav Klose,2014,11,Delantero,5,2,2,0,0,4,1,0
Miroslav Klose,2010,11,Delantero,5,2,4,0,1,3,0,2
Miroslav Klose,2006,11,Delantero,7,0,5,0,0,5,1,1
Gabriel Omar Batistuta,1998,9,Delantero,5,0,5,0,0,3,1,1
Gabriel Omar Batistuta,1994,9,Delantero,4,0,4,1,0,2,0,2
Gabriel Omar Batistuta,2002,9,Delantero,3,0,1,1,0,1,1,1
Luis Alberto Suárez Díaz,2014,9,Delantero,2,2,2,0,0,2,0,0
Luis Alberto Suárez Díaz,2018,9,Delantero,5,0,2,0,0,4,0,1
Luis Alberto Suárez Díaz,2010,9,Delantero,6,1,3,0,1,3,2,1
Gianluigi Buffon,2006,1,Arquero,7,0,0,0,0,5,2,0
Gianluigi Buffon,2002,1,Arquero,4,0,0,0,0,1,1,2
Gianluigi Buffon,1998,22,Arquero,0,5,0,0,0,0,0,0
Gianluigi Buffon,2014,1,Arquero,2,1,0,0,0,0,0,2
Gianluigi Buffon,2010,1,Arquero,1,2,0,0,0,0,1,0
Rafael Márquez Álvarez,2010,4,Defensor,4,0,1,1,0,1,1,2
Rafael Márquez Álvarez,2014,4,Defensor,4,0,1,2,0,2,1,1
Rafael Márquez Álvarez,2006,4,Defensor,4,0,1,2,0,1,1,2
Rafael Márquez Álvarez,2002,4,Mediocampista,4,0,0,0,1,2,1,1
Rafael Márquez Álvarez,2018,4,Defensor,3,1,0,0,0,2,0,1
Javier Hernández Balcázar,2010,14,Delantero,4,0,2,1,0,1,1,2
Javier Hernández Balcázar,2018,14,Delantero,4,0,1,0,0,2,0,2
Javier Hernández Balcázar,2014,14,Delantero,4,0,1,0,0,2,1,1
